Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1,Global 0
0.0,0.0,0.029943705,0.47625637,0.0
0.0,0.0,0.043836355,0.2778479,0.0
0.0,0.0,0.057906866,0.28141552,0.0
0.0,0.0,0.07664299,0.37472022,0.0
0.0,0.0,-6.207244,-0.01403594,0.0
0.0,0.0,0.070620775,-0.10640919,0.0
0.0,0.0,0.053312063,-0.346174,0.0
0.0,0.0,0.038229704,-0.3016439,0.0
0.0,0.0,0.023324251,-0.29811376,0.0
0.0,0.0,0.0059506893,-0.3474688,0.0
0.0,0.0,0.005497694,-0.009061754,0.0
0.0,0.0,-0.0017237663,-0.14442581,0.0
0.0,0.0,-0.004929304,-0.06411435,0.0
0.0,0.0,-0.0033698082,0.03119146,0.0
0.0,0.0,-0.01937747,-0.3201522,0.0
0.0,0.0,-0.031818867,-0.24882895,0.0
0.0,0.0,-0.031612873,0.004119754,0.0
0.0,0.0,-0.039702177,-0.16178495,0.0
0.0,0.0,-0.057216406,-0.35028446,0.0
0.0,0.0,6.2227664,-0.06404996,0.0
0.0,0.0,-0.047156334,0.26524794,0.0
0.0,0.0,-0.04710579,0.0010156631,0.0
0.0,0.0,-0.04760003,-0.009890556,0.0
0.0,0.0,-0.026610374,0.41979676,0.0
0.0,0.0,-0.0149924755,0.2323578,0.0
0.0,0.0,-0.011176586,0.07632062,0.0
0.0,0.0,-0.014870405,-0.07387915,0.0
0.0,0.0,0.0025537014,0.34848002,0.0
0.0,0.0,0.017491102,0.2987529,0.0
0.0,0.0,0.03820491,0.41427055,0.0
0.0,0.0,0.03637433,-0.036608875,0.0
0.0,0.0,0.03012681,-0.12494993,0.0
0.0,0.0,0.04103303,0.21812636,0.0
0.0,0.0,0.03478694,-0.12492424,0.0
0.0,0.0,0.026419401,-0.16735119,0.0
0.0,0.0,-6.2618127,-0.10093787,0.0
0.0,0.0,0.030434608,0.18124375,0.0
0.0,0.0,0.030037403,-0.007946134,0.0
0.0,0.0,0.013705015,-0.32664818,0.0
0.0,0.0,0.00940156,-0.08606805,0.0
0.0,0.0,0.01134944,0.03896074,0.0
0.0,0.0,0.008505821,-0.056874678,0.0
