Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1,Global 0
0.0,0.0,-0.12072629,-0.1382699,0.0
0.0,0.0,-0.13457829,-0.27703905,0.0
0.0,0.0,-0.16999441,-0.70832443,0.0
0.0,0.0,-0.18822455,-0.36460066,0.0
0.0,0.0,-0.22738218,-0.78315496,0.0
0.0,0.0,-0.2706597,-0.8655491,0.0
0.0,0.0,-0.31818128,-0.9504285,0.0
0.0,0.0,-0.339679,-0.42996073,0.0
0.0,0.0,-0.351115,-0.22871351,0.0
0.0,0.0,-0.3714695,-0.40709305,0.0
0.0,0.0,5.9161243,0.08816719,0.0
0.0,0.0,-0.3601396,0.13842916,0.0
0.0,0.0,-0.34835196,0.23575306,0.0
0.0,0.0,-0.3194158,0.5787244,0.0
0.0,0.0,-0.281281,0.7626958,0.0
0.0,0.0,-0.25515866,0.5224495,0.0
0.0,0.0,-0.20996022,0.90396595,0.0
0.0,0.0,-0.17759663,0.6472721,0.0
0.0,0.0,-0.15695536,0.41282606,0.0
0.0,0.0,-0.12970388,0.5450289,0.0
0.0,0.0,-0.10031846,0.58770823,0.0
0.0,0.0,-0.08814466,0.24347651,0.0
0.0,0.0,-0.06774941,0.40790498,0.0
0.0,0.0,-0.05794099,0.19616807,0.0
0.0,0.0,-0.03412485,0.476323,0.0
0.0,0.0,-0.017341882,0.33565933,0.0
0.0,0.0,-0.013630629,0.07422513,0.0
0.0,0.0,-0.02057752,-0.13893762,0.0
0.0,0.0,-0.00908874,0.22977519,0.0
0.0,0.0,-0.011724949,-0.05272372,0.0
0.0,0.0,-0.01707451,-0.10699172,0.0
0.0,0.0,0.0012398958,0.36628854,0.0
0.0,0.0,0.021645531,0.40811235,0.0
0.0,0.0,0.020951226,-0.013885856,0.0
0.0,0.0,0.021986738,0.02071014,0.0
0.0,0.0,0.019727185,-0.04519099,0.0
0.0,0.0,0.026970565,0.14486781,0.0
0.0,0.0,0.04744053,0.40939873,0.0
0.0,0.0,0.06469002,0.34499055,0.0
0.0,0.0,0.08857435,0.47768617,0.0
0.0,0.0,0.09696525,0.16781783,0.0
0.0,0.0,0.12359613,0.53261805,0.0
0.0,0.0,0.15965122,0.7211008,0.0
0.0,0.0,0.18093985,0.42577434,0.0
0.0,0.0,0.21857095,0.7526214,0.0
0.0,0.0,0.25101364,0.6488519,0.0
0.0,0.0,0.28209007,0.62153053,0.0
0.0,0.0,0.33294094,1.0170155,0.0
0.0,0.0,0.36072373,0.5556574,0.0
0.0,0.0,0.3724928,0.23538256,0.0
0.0,0.0,-5.9027405,0.15903664,0.0
0.0,0.0,0.37608337,-0.08722973,0.0
0.0,0.0,0.36731791,-0.17530346,0.0
0.0,0.0,0.3534509,-0.2773447,0.0
0.0,0.0,0.32841432,-0.5007291,0.0
0.0,0.0,0.30393708,-0.48954487,0.0
0.0,0.0,0.26670158,-0.74471045,0.0
0.0,0.0,0.24036503,-0.5267315,0.0
0.0,0.0,0.20694369,-0.66842556,0.0
0.0,0.0,0.17212483,-0.696378,0.0
0.0,0.0,0.15171921,-0.40811205,0.0
0.0,0.0,0.14657407,-0.102903366,0.0
0.0,0.0,0.13408116,-0.2498579,0.0
0.0,0.0,0.14419731,0.20232296,0.0
0.0,0.0,0.15758969,0.26784754,0.0
0.0,0.0,0.15886167,0.0254395,0.0
0.0,0.0,0.16980314,0.21882963,0.0
0.0,0.0,0.20107824,0.6255021,0.0
0.0,0.0,0.22061318,0.39069796,0.0
0.0,0.0,0.2477634,0.5430069,0.0
0.0,0.0,0.27898693,0.6244688,0.0
0.0,0.0,0.32551587,0.93057775,0.0
0.0,0.0,0.3472904,0.43548918,0.0
0.0,0.0,0.36409307,0.3360567,0.0
0.0,0.0,0.3858924,0.43598843,0.0
0.0,0.0,-5.894432,0.057214737,0.0
0.0,0.0,0.3842094,-0.09087515,0.0
0.0,0.0,0.3556075,-0.5720415,0.0
0.0,0.0,0.3369764,-0.3726182,0.0
0.0,0.0,0.30860913,-0.56734896,0.0
0.0,0.0,0.25817788,-1.0086231,0.0
0.0,0.0,0.23089528,-0.5456548,0.0
0.0,0.0,0.21268749,-0.3641529,0.0
0.0,0.0,0.19841647,-0.28542185,0.0
0.0,0.0,0.18349332,-0.2984619,0.0
0.0,0.0,0.15612552,-0.54735684,0.0
0.0,0.0,0.14779569,-0.16659641,0.0
0.0,0.0,0.1361227,-0.23345971,0.0
0.0,0.0,0.15011689,0.27988386,0.0
0.0,0.0,0.1621388,0.24043775,0.0
0.0,0.0,0.17687514,0.2947278,0.0
0.0,0.0,0.20024839,0.4674647,0.0
