Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1,Global 0
0.0,0.0,0.15057015,0.8817067,0.0
0.0,0.0,0.18847966,0.75819564,0.0
0.0,0.0,0.19697928,0.16998982,0.0
0.0,0.0,0.19608378,-0.017909288,0.0
0.0,0.0,-6.068877,0.36449194,0.0
0.0,0.0,0.21368265,-0.012516499,0.0
0.0,0.0,0.19504309,-0.37278652,0.0
0.0,0.0,0.18376732,-0.22551775,0.0
0.0,0.0,0.16573143,-0.3607216,0.0
0.0,0.0,0.12737131,-0.7671981,0.0
0.0,0.0,0.09005308,-0.7463671,0.0
0.0,0.0,0.044860125,-0.9038534,0.0
0.0,0.0,0.0033164024,-0.830883,0.0
0.0,0.0,-0.040614605,-0.8786131,0.0
0.0,0.0,-0.081959486,-0.8268982,0.0
0.0,0.0,-0.106848,-0.4977733,0.0
0.0,0.0,-0.14830828,-0.8292055,0.0
0.0,0.0,-0.184196,-0.7177558,0.0
0.0,0.0,-0.21342325,-0.5845423,0.0
0.0,0.0,-0.22982693,-0.32807064,0.0
0.0,0.0,6.044882,-0.16953373,0.0
0.0,0.0,-0.23918867,-0.017700672,0.0
0.0,0.0,-0.2166419,0.45093012,0.0
0.0,0.0,-0.17963743,0.74009204,0.0
0.0,0.0,-0.1514914,0.5629194,0.0
0.0,0.0,-0.1074419,0.8809893,0.0
0.0,0.0,-0.077691674,0.5950053,0.0
0.0,0.0,-0.055334806,0.44713676,0.0
0.0,0.0,-0.023111463,0.6444675,0.0
0.0,0.0,0.0060367584,0.5829632,0.0
0.0,0.0,0.04102552,0.699778,0.0
0.0,0.0,0.0803622,0.7867312,0.0
0.0,0.0,0.11255121,0.6437818,0.0
0.0,0.0,0.1568284,0.8855424,0.0
0.0,0.0,0.19596624,0.78276014,0.0
0.0,0.0,0.22414851,0.5636394,0.0
0.0,0.0,0.23867774,0.29058838,0.0
0.0,0.0,-6.049281,-0.09546471,0.0
0.0,0.0,0.22835112,-0.11106825,0.0
0.0,0.0,0.22361279,-0.09476805,0.0
0.0,0.0,0.19860077,-0.5002394,0.0
0.0,0.0,0.16209745,-0.7300637,0.0
0.0,0.0,0.1454699,-0.3325553,0.0
0.0,0.0,0.11971128,-0.51516914,0.0
0.0,0.0,0.08903992,-0.6134299,0.0
0.0,0.0,0.062438607,-0.53202474,0.0
0.0,0.0,0.0364244,-0.5202833,0.0
0.0,0.0,-0.0005031824,-0.7385526,0.0
0.0,0.0,-0.025494456,-0.49982545,0.0
0.0,0.0,-0.049189925,-0.47390926,0.0
0.0,0.0,-0.09170413,-0.8502854,0.0
0.0,0.0,-0.12292647,-0.62444663,0.0
0.0,0.0,-0.15450096,-0.63148856,0.0
0.0,0.0,-0.18243599,-0.55870104,0.0
0.0,0.0,-0.19359994,-0.223279,0.0
0.0,0.0,-0.21778822,-0.48376584,0.0
0.0,0.0,-0.21412897,0.073188305,0.0
0.0,0.0,6.0781527,0.18192387,0.0
0.0,0.0,-0.2015655,0.06934214,0.0
0.0,0.0,-0.17998338,0.43164086,0.0
0.0,0.0,-0.153692,0.52583075,0.0
0.0,0.0,-0.12533212,0.56719685,0.0
0.0,0.0,-0.1041944,0.42275214,0.0
0.0,0.0,-0.084147215,0.40094686,0.0
0.0,0.0,-0.047968388,0.7235769,0.0
0.0,0.0,-0.0056722164,0.84591955,0.0
0.0,0.0,0.011932373,0.3520937,0.0
0.0,0.0,0.048100233,0.72335863,0.0
0.0,0.0,0.077284336,0.58368015,0.0
0.0,0.0,0.11839175,0.8221508,0.0
0.0,0.0,0.13921261,0.41641355,0.0
0.0,0.0,0.160635,0.42845368,0.0
0.0,0.0,0.17815542,0.35040164,0.0
0.0,0.0,0.17825866,0.0020694733,0.0
0.0,0.0,-6.094185,0.21483421,0.0
0.0,0.0,0.19619441,0.14387918,0.0
0.0,0.0,0.17297268,-0.46443582,0.0
0.0,0.0,0.1506815,-0.44582415,0.0
0.0,0.0,0.11588287,-0.69597244,0.0
0.0,0.0,0.10518265,-0.21400237,0.0
0.0,0.0,0.08294606,-0.44473112,0.0
0.0,0.0,0.067579985,-0.3073237,0.0
0.0,0.0,0.037718296,-0.5972325,0.0
0.0,0.0,0.015189409,-0.45057613,0.0
0.0,0.0,-0.02047205,-0.71323407,0.0
0.0,0.0,-0.05634141,-0.7173822,0.0
0.0,0.0,-0.09027982,-0.67877007,0.0
0.0,0.0,-0.1137135,-0.46867394,0.0
0.0,0.0,-0.14310884,-0.58790636,0.0
0.0,0.0,-0.15205574,-0.17894197,0.0
0.0,0.0,-0.15356374,-0.030156136,0.0
0.0,0.0,-0.1782813,-0.49435234,0.0
0.0,0.0,6.091628,-0.26551676,0.0
0.0,0.0,-0.20010257,-0.17090487,0.0
0.0,0.0,-0.20337725,-0.0654974,0.0
0.0,0.0,-0.19403243,0.18689752,0.0
0.0,0.0,-0.17205095,0.439631,0.0
0.0,0.0,-0.13371897,0.76663494,0.0
0.0,0.0,-0.11080217,0.45833945,0.0
0.0,0.0,-0.07762325,0.6635792,0.0
0.0,0.0,-0.03014636,0.949536,0.0
0.0,0.0,0.009879231,0.80051327,0.0
0.0,0.0,0.053696394,0.8763424,0.0
0.0,0.0,0.089310884,0.7122899,0.0
0.0,0.0,0.1362791,0.9393643,0.0
0.0,0.0,0.16866255,0.6476686,0.0
0.0,0.0,0.18049169,0.2365818,0.0
0.0,0.0,0.19153929,0.22095561,0.0
0.0,0.0,0.20239758,0.21715975,0.0
0.0,0.0,-6.071331,0.18914413,0.0
0.0,0.0,0.21851897,0.1332879,0.0
0.0,0.0,0.20633054,-0.24376726,0.0
0.0,0.0,0.19582725,-0.21007228,0.0
0.0,0.0,0.18151593,-0.28622055,0.0
0.0,0.0,0.14805889,-0.6691413,0.0
0.0,0.0,0.1310842,-0.339494,0.0
0.0,0.0,0.10180104,-0.5856643,0.0
0.0,0.0,0.077976584,-0.4764892,0.0
0.0,0.0,0.04351175,-0.6892965,0.0
0.0,0.0,0.014216185,-0.5859099,0.0
0.0,0.0,-0.01432693,-0.5708641,0.0
0.0,0.0,-0.03862226,-0.48590407,0.0
0.0,0.0,-0.085301995,-0.9335965,0.0
0.0,0.0,-0.11877513,-0.6694646,0.0
0.0,0.0,-0.15437222,-0.7119396,0.0
0.0,0.0,-0.17212105,-0.3549776,0.0
0.0,0.0,-0.21021199,-0.7618153,0.0
0.0,0.0,-0.21581101,-0.11198425,0.0
0.0,0.0,-0.21737576,-0.03129387,0.0
0.0,0.0,6.0480976,-0.354239,0.0
0.0,0.0,-0.23149085,0.071937084,0.0
0.0,0.0,-0.21264172,0.37698412,0.0
0.0,0.0,-0.18597746,0.5332806,0.0
0.0,0.0,-0.14867926,0.7459667,0.0
0.0,0.0,-0.11073017,0.7589836,0.0
0.0,0.0,-0.084992886,0.51474667,0.0
0.0,0.0,-0.052004576,0.65976393,0.0
0.0,0.0,-0.0120379925,0.7993307,0.0
0.0,0.0,0.011218309,0.46512547,0.0
0.0,0.0,0.035964012,0.4949159,0.0
0.0,0.0,0.06872487,0.65521854,0.0
0.0,0.0,0.09474325,0.52036226,0.0
0.0,0.0,0.1357081,0.8193023,0.0
0.0,0.0,0.16508007,0.58743906,0.0
0.0,0.0,0.18264651,0.35132623,0.0
0.0,0.0,0.2093482,0.53403544,0.0
0.0,0.0,0.2273519,0.36007357,0.0
0.0,0.0,-6.0404663,0.30733538,0.0
0.0,0.0,0.24452949,0.03621769,0.0
0.0,0.0,0.2247746,-0.39509773,0.0
0.0,0.0,0.18941498,-0.70719504,0.0
0.0,0.0,0.17048597,-0.37858033,0.0
0.0,0.0,0.124550104,-0.91871476,0.0
0.0,0.0,0.08530927,-0.78481793,0.0
0.0,0.0,0.062077522,-0.46463513,0.0
0.0,0.0,0.039457917,-0.452393,0.0
0.0,0.0,0.0069116354,-0.6509228,0.0
0.0,0.0,-0.024242163,-0.62307763,0.0
0.0,0.0,-0.074597836,-1.0071144,0.0
0.0,0.0,-0.11009216,-0.7098868,0.0
0.0,0.0,-0.14321733,-0.66250086,0.0
0.0,0.0,-0.1801045,-0.73774624,0.0
0.0,0.0,-0.22114229,-0.82075477,0.0
0.0,0.0,-0.25123882,-0.6019268,0.0
0.0,0.0,-0.26921678,-0.35956383,0.0
0.0,0.0,6.008082,-0.11773014,0.0
0.0,0.0,-0.2660377,0.18131113,0.0
0.0,0.0,-0.24353409,0.45007753,0.0
0.0,0.0,-0.22544289,0.36181974,0.0
0.0,0.0,-0.201087,0.48711538,0.0
0.0,0.0,-0.18197608,0.38222408,0.0
0.0,0.0,-0.15974021,0.44471312,0.0
0.0,0.0,-0.12978971,0.5990124,0.0
0.0,0.0,-0.08508313,0.8941306,0.0
0.0,0.0,-0.04389143,0.823836,0.0
0.0,0.0,0.0013580322,0.90498793,0.0
0.0,0.0,0.046588182,0.9046032,0.0
0.0,0.0,0.09464133,0.96106064,0.0
0.0,0.0,0.13874984,0.8821733,0.0
0.0,0.0,0.19022274,1.0294566,0.0
0.0,0.0,0.23759115,0.9473679,0.0
0.0,0.0,0.27169204,0.6820178,0.0
