Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1,Global 0
0.0,0.0,0.15575051,0.54709864,0.0
0.0,0.0,0.17766166,0.43822384,0.0
0.0,0.0,0.19767213,0.40020967,0.0
0.0,0.0,0.20215344,0.08962226,0.0
0.0,0.0,-6.075404,0.11255598,0.0
0.0,0.0,0.21520996,0.1485796,0.0
0.0,0.0,0.21679091,0.031612873,0.0
0.0,0.0,0.20433998,-0.24901485,0.0
0.0,0.0,0.17415833,-0.6036334,0.0
0.0,0.0,0.15687251,-0.3457141,0.0
0.0,0.0,0.12256551,-0.68614435,0.0
0.0,0.0,0.0804137,-0.84303343,0.0
0.0,0.0,0.03420365,-0.9242006,0.0
0.0,0.0,0.012388825,-0.43629962,0.0
0.0,0.0,-0.035777807,-0.9633295,0.0
0.0,0.0,-0.07026923,-0.6898299,0.0
0.0,0.0,-0.1136291,-0.8671961,0.0
0.0,0.0,-0.1350975,-0.42937016,0.0
0.0,0.0,-0.17396665,-0.77738047,0.0
0.0,0.0,-0.1921668,-0.36400652,0.0
0.0,0.0,-0.22175527,-0.5917659,0.0
0.0,0.0,-0.22063565,0.022390842,0.0
0.0,0.0,6.063491,0.018819332,0.0
0.0,0.0,-0.21797776,0.034335136,0.0
0.0,0.0,-0.19188428,0.5218754,0.0
0.0,0.0,-0.17240644,0.38955617,0.0
0.0,0.0,-0.1518352,0.4114232,0.0
0.0,0.0,-0.13383651,0.35997128,0.0
0.0,0.0,-0.096021414,0.7563069,0.0
0.0,0.0,-0.06009507,0.71852136,0.0
0.0,0.0,-0.03436625,0.51457894,0.0
0.0,0.0,-0.007305026,0.5412266,0.0
0.0,0.0,0.018974423,0.52558607,0.0
0.0,0.0,0.05323994,0.68531203,0.0
0.0,0.0,0.07320452,0.39929283,0.0
0.0,0.0,0.09911251,0.5181538,0.0
0.0,0.0,0.13638616,0.7454802,0.0
0.0,0.0,0.1668911,0.61009645,0.0
0.0,0.0,0.19859815,0.6341362,0.0
0.0,0.0,0.22168589,0.46176314,0.0
0.0,0.0,-6.0679865,-0.12974072,0.0
