Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1,Global 0
0.0,0.0,6.2188587,-0.19314611,0.0
0.0,0.0,-0.07521391,-0.21773875,0.0
0.0,0.0,-0.07833648,-0.062453866,0.0
0.0,0.0,-0.08451939,-0.123659134,0.0
0.0,0.0,-0.08763051,-0.06221938,0.0
0.0,0.0,-0.06389427,0.47472227,0.0
0.0,0.0,-0.058764935,0.10259199,0.0
0.0,0.0,-0.03972292,0.38083535,0.0
0.0,0.0,-0.012959242,0.53527266,0.0
0.0,0.0,0.0047135353,0.35345924,0.0
0.0,0.0,0.013142824,0.16858168,0.0
0.0,0.0,0.022530794,0.18776122,0.0
0.0,0.0,0.038179636,0.31297782,0.0
0.0,0.0,0.055410385,0.34461558,0.0
0.0,0.0,0.06538415,0.19947386,0.0
0.0,0.0,0.0860281,0.41288126,0.0
0.0,0.0,0.10266662,0.33276796,0.0
0.0,0.0,0.12081456,0.36295986,0.0
0.0,0.0,-6.175683,-0.2662456,0.0
0.0,0.0,0.11616492,0.17325091,0.0
0.0,0.0,0.10542488,-0.2147994,0.0
0.0,0.0,0.105434656,0.00019717216,0.0
0.0,0.0,0.09611845,-0.18632913,0.0
0.0,0.0,0.09247136,-0.07293761,0.0
0.0,0.0,0.079036474,-0.26869857,0.0
0.0,0.0,0.051383972,-0.5530472,0.0
0.0,0.0,0.026361227,-0.5004589,0.0
0.0,0.0,-0.003128767,-0.5897979,0.0
0.0,0.0,-0.032877445,-0.5949778,0.0
0.0,0.0,-0.06483507,-0.63914853,0.0
0.0,0.0,-0.087865114,-0.46060133,0.0
0.0,0.0,-0.10262847,-0.295267,0.0
0.0,0.0,-0.1261816,-0.47106385,0.0
0.0,0.0,-0.13797498,-0.23586631,0.0
0.0,0.0,-0.15699792,-0.38045573,0.0
0.0,0.0,6.114275,-0.2382536,0.0
0.0,0.0,-0.17789245,-0.17964005,0.0
0.0,0.0,-0.15264416,0.504967,0.0
0.0,0.0,-0.15108609,0.031160831,0.0
0.0,0.0,-0.13940096,0.23370075,0.0
0.0,0.0,-0.11060834,0.5758519,0.0
0.0,0.0,-0.09487152,0.31473982,0.0
0.0,0.0,-0.05291462,0.83913434,0.0
0.0,0.0,-0.014714956,0.7639935,0.0
0.0,0.0,0.031181097,0.9179239,0.0
0.0,0.0,0.062684774,0.63007355,0.0
0.0,0.0,0.08661413,0.4785818,0.0
0.0,0.0,0.11594772,0.5866786,0.0
0.0,0.0,0.15362906,0.7536228,0.0
0.0,0.0,0.17440653,0.41555285,0.0
0.0,0.0,0.18178463,0.14755702,0.0
0.0,0.0,0.20096874,0.38368773,0.0
0.0,0.0,-6.085674,-0.069150925,0.0
0.0,0.0,0.17557192,-0.43878675,0.0
0.0,0.0,0.15469337,-0.41757298,0.0
0.0,0.0,0.13068843,-0.48010015,0.0
0.0,0.0,0.11881089,-0.23754883,0.0
0.0,0.0,0.09154129,-0.5453887,0.0
0.0,0.0,0.061495543,-0.6009213,0.0
0.0,0.0,0.02674222,-0.6950623,0.0
0.0,0.0,0.0077297688,-0.38025194,0.0
0.0,0.0,-0.009521008,-0.34501177,0.0
0.0,0.0,-0.02515769,-0.31273872,0.0
0.0,0.0,-0.05868721,-0.67058486,0.0
0.0,0.0,-0.07314992,-0.28925848,0.0
0.0,0.0,-0.0909791,-0.35658336,0.0
0.0,0.0,-0.109781265,-0.37604177,0.0
0.0,0.0,-0.1382122,-0.5686188,0.0
0.0,0.0,-0.162997,-0.49569654,0.0
0.0,0.0,-0.18359637,-0.41198468,0.0
0.0,0.0,6.108437,0.17695856,0.0
0.0,0.0,-0.17821693,-0.06936979,0.0
0.0,0.0,-0.17032719,0.15779138,0.0
0.0,0.0,-0.15518832,0.30277896,0.0
0.0,0.0,-0.12641644,0.57543397,0.0
0.0,0.0,-0.09186101,0.69111264,0.0
0.0,0.0,-0.075936794,0.31848335,0.0
0.0,0.0,-0.049461126,0.5295128,0.0
0.0,0.0,-0.009346962,0.8022853,0.0
0.0,0.0,0.03023386,0.7916148,0.0
0.0,0.0,0.047653675,0.34839743,0.0
0.0,0.0,0.06554723,0.357872,0.0
0.0,0.0,0.086195946,0.4129715,0.0
0.0,0.0,0.09759855,0.22805321,0.0
0.0,0.0,0.11656928,0.37941432,0.0
0.0,0.0,0.12228942,0.11440253,0.0
0.0,0.0,0.13765049,0.3072238,0.0
0.0,0.0,0.13842583,0.015501499,0.0
0.0,0.0,-6.138612,0.12295222,0.0
0.0,0.0,0.13093734,-0.27271628,0.0
0.0,0.0,0.13818288,0.14490914,0.0
0.0,0.0,0.13912201,0.018779993,0.0
0.0,0.0,0.11902928,-0.40185285,0.0
0.0,0.0,0.09058881,-0.56880844,0.0
0.0,0.0,0.059651613,-0.6187469,0.0
0.0,0.0,0.034001112,-0.5130077,0.0
0.0,0.0,-0.005882263,-0.79766786,0.0
0.0,0.0,-0.027615547,-0.43466178,0.0
0.0,0.0,-0.055532455,-0.55834204,0.0
0.0,0.0,-0.08279443,-0.5452423,0.0
0.0,0.0,-0.09460616,-0.2362287,0.0
0.0,0.0,-0.106404066,-0.23596084,0.0
0.0,0.0,-0.10725093,-0.016941547,0.0
0.0,0.0,-0.12238407,-0.3026564,0.0
0.0,0.0,-0.11668062,0.114066124,0.0
0.0,0.0,6.172728,0.124468565,0.0
0.0,0.0,-0.11247015,-0.040257215,0.0
0.0,0.0,-0.10236883,0.20202231,0.0
0.0,0.0,-0.09851956,0.07698953,0.0
0.0,0.0,-0.07359481,0.49849212,0.0
0.0,0.0,-0.06899953,0.09190607,0.0
0.0,0.0,-0.059111834,0.19775796,0.0
0.0,0.0,-0.048211575,0.21800154,0.0
0.0,0.0,-0.029219389,0.37984562,0.0
0.0,0.0,0.00091934204,0.6027688,0.0
0.0,0.0,0.024480343,0.47122577,0.0
0.0,0.0,0.046128273,0.43295807,0.0
0.0,0.0,0.051739216,0.112216175,0.0
0.0,0.0,0.06844711,0.33416402,0.0
0.0,0.0,0.072042465,0.071900845,0.0
0.0,0.0,0.07751799,0.10951018,0.0
0.0,0.0,0.10198784,0.48940265,0.0
0.0,0.0,0.10125446,-0.014670134,0.0
0.0,0.0,-6.167124,0.29614282,0.0
0.0,0.0,0.124861,0.17598939,0.0
0.0,0.0,0.109680414,-0.30361438,0.0
0.0,0.0,0.103857756,-0.11645484,0.0
0.0,0.0,0.079607725,-0.48499954,0.0
0.0,0.0,0.07095933,-0.17296493,0.0
0.0,0.0,0.05721593,-0.27487075,0.0
0.0,0.0,0.046850443,-0.20730758,0.0
0.0,0.0,0.025036573,-0.43628126,0.0
0.0,0.0,0.015518904,-0.19034994,0.0
0.0,0.0,-0.020433187,-0.7190391,0.0
0.0,0.0,-0.048460007,-0.5605421,0.0
0.0,0.0,-0.06231904,-0.27717978,0.0
0.0,0.0,-0.08308387,-0.4152925,0.0
0.0,0.0,-0.10842395,-0.5068047,0.0
0.0,0.0,-0.13195157,-0.47055197,0.0
0.0,0.0,-0.12938738,0.051279783,0.0
0.0,0.0,6.1508484,-0.058984518,0.0
0.0,0.0,-0.11805296,0.28567624,0.0
0.0,0.0,-0.10385442,0.2839725,0.0
0.0,0.0,-0.09558606,0.1653632,0.0
0.0,0.0,-0.08503246,0.21107745,0.0
0.0,0.0,-0.06732392,0.35416722,0.0
0.0,0.0,-0.03621173,0.6222465,0.0
0.0,0.0,-0.008504391,0.55414194,0.0
0.0,0.0,-0.0024955273,0.12018266,0.0
0.0,0.0,0.024261713,0.53513974,0.0
0.0,0.0,0.05701804,0.65513027,0.0
0.0,0.0,0.081668615,0.49301302,0.0
0.0,0.0,0.0875864,0.11835098,0.0
0.0,0.0,0.09965658,0.24140811,0.0
0.0,0.0,0.09785342,-0.03606558,0.0
0.0,0.0,0.099010706,0.023144484,0.0
0.0,0.0,-6.1693687,0.2961222,0.0
0.0,0.0,0.12394285,0.20252466,0.0
0.0,0.0,0.110249996,-0.2738626,0.0
0.0,0.0,0.09425449,-0.31990862,0.0
0.0,0.0,0.082757235,-0.22994018,0.0
0.0,0.0,0.079340935,-0.06832957,0.0
0.0,0.0,0.048880577,-0.6092074,0.0
0.0,0.0,0.020164251,-0.57432663,0.0
0.0,0.0,0.009330988,-0.21666679,0.0
0.0,0.0,-0.013234615,-0.45130816,0.0
0.0,0.0,-0.02318716,-0.19905218,0.0
0.0,0.0,-0.053831577,-0.61289203,0.0
0.0,0.0,-0.07236719,-0.37070775,0.0
0.0,0.0,-0.09472799,-0.4472196,0.0
0.0,0.0,-0.11414981,-0.3884307,0.0
