Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1,Global 0
0.0,0.0,0.17158246,0.7171347,0.0
0.0,0.0,0.21094775,0.78730917,0.0
0.0,0.0,0.22409153,0.26286936,0.0
0.0,0.0,0.22912574,0.10068941,0.0
0.0,0.0,-6.0408607,0.26397753,0.0
0.0,0.0,0.23818493,-0.08279514,0.0
0.0,0.0,0.24052095,0.046717167,0.0
0.0,0.0,0.22269487,-0.35651636,0.0
0.0,0.0,0.20846987,-0.2845049,0.0
0.0,0.0,0.16208923,-0.92760897,0.0
0.0,0.0,0.11717367,-0.8983116,0.0
0.0,0.0,0.086687565,-0.609723,0.0
0.0,0.0,0.047394633,-0.7858597,0.0
0.0,0.0,0.020383,-0.54023075,0.0
0.0,0.0,-0.018945336,-0.7865695,0.0
0.0,0.0,-0.049654007,-0.6141696,0.0
0.0,0.0,-0.08445001,-0.6959237,0.0
0.0,0.0,-0.13188648,-0.94872713,0.0
0.0,0.0,-0.15970278,-0.5563276,0.0
0.0,0.0,-0.1850388,-0.50671935,0.0
0.0,0.0,-0.22382045,-0.77563167,0.0
0.0,0.0,-0.24281907,-0.3799734,0.0
0.0,0.0,-0.2605002,-0.35362577,0.0
0.0,0.0,6.0182133,-0.08943844,0.0
0.0,0.0,-0.26063013,0.08684492,0.0
0.0,0.0,-0.25654244,0.08175135,0.0
0.0,0.0,-0.24276686,0.27550936,0.0
0.0,0.0,-0.22491312,0.3570776,0.0
0.0,0.0,-0.19970906,0.50408053,0.0
0.0,0.0,-0.15244174,0.9453473,0.0
0.0,0.0,-0.12926328,0.4635687,0.0
0.0,0.0,-0.09391737,0.7069175,0.0
0.0,0.0,-0.04791677,0.92001265,0.0
0.0,0.0,-0.02327919,0.49275294,0.0
0.0,0.0,0.0049853325,0.5652888,0.0
0.0,0.0,0.048285365,0.86600095,0.0
0.0,0.0,0.08956623,0.82561666,0.0
0.0,0.0,0.12878323,0.78434086,0.0
0.0,0.0,0.15641272,0.5525882,0.0
0.0,0.0,0.20208144,0.91337514,0.0
0.0,0.0,0.22599375,0.47824526,0.0
