Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1,Global 0
0.0,0.0,0.11644602,0.5796416,0.0
0.0,0.0,0.11648154,0.00071406364,0.0
0.0,0.0,0.13001585,0.27068472,0.0
0.0,0.0,-6.146161,0.14016962,0.0
0.0,0.0,0.13915944,0.042705297,0.0
0.0,0.0,0.14187503,0.05431056,0.0
0.0,0.0,0.1437552,0.037602663,0.0
0.0,0.0,0.13493896,-0.17632675,0.0
0.0,0.0,0.10442567,-0.61026263,0.0
0.0,0.0,0.09425402,-0.20343566,0.0
0.0,0.0,0.07877803,-0.30951917,0.0
0.0,0.0,0.04432416,-0.68907756,0.0
0.0,0.0,0.0034930706,-0.8166174,0.0
0.0,0.0,-0.016906023,-0.4079885,0.0
0.0,0.0,-0.031800985,-0.29789364,0.0
0.0,0.0,-0.07139802,-0.7919435,0.0
0.0,0.0,-0.09346151,-0.44126892,0.0
0.0,0.0,-0.13218808,-0.7745311,0.0
0.0,0.0,-0.16613984,-0.67903805,0.0
0.0,0.0,-0.17208147,-0.118827105,0.0
0.0,0.0,-0.1709745,0.02213645,0.0
0.0,0.0,6.1056724,-0.13077259,0.0
0.0,0.0,-0.17444944,0.061274767,0.0
0.0,0.0,-0.15505123,0.38796186,0.0
0.0,0.0,-0.12790275,0.54297066,0.0
0.0,0.0,-0.114035845,0.27733684,0.0
0.0,0.0,-0.08149052,0.6509112,0.0
0.0,0.0,-0.06418228,0.34615767,0.0
0.0,0.0,-0.037819147,0.52726734,0.0
0.0,0.0,-0.0023834705,0.7087122,0.0
0.0,0.0,0.032116175,0.68999225,0.0
0.0,0.0,0.0603292,0.5642616,0.0
0.0,0.0,0.09202433,0.63390493,0.0
0.0,0.0,0.10259795,0.21146727,0.0
0.0,0.0,0.117230415,0.2926545,0.0
0.0,0.0,0.12592435,0.17387629,0.0
0.0,0.0,0.1262629,0.0067694187,0.0
0.0,0.0,0.1258409,-0.008440018,0.0
0.0,0.0,-6.142851,0.28987455,0.0
0.0,0.0,0.1506598,0.20650196,0.0
0.0,0.0,0.1444838,-0.12351775,0.0
0.0,0.0,0.13162136,-0.25724483,0.0
0.0,0.0,0.11358476,-0.36073685,0.0
0.0,0.0,0.10674095,-0.13687587,0.0
0.0,0.0,0.09613013,-0.21221137,0.0
0.0,0.0,0.061121225,-0.700184,0.0
0.0,0.0,0.020895958,-0.80450153,0.0
0.0,0.0,-0.021060467,-0.83913314,0.0
0.0,0.0,-0.05340147,-0.6468167,0.0
0.0,0.0,-0.08257866,-0.5835445,0.0
0.0,0.0,-0.114589214,-0.6402112,0.0
0.0,0.0,-0.12301111,-0.16843772,0.0
0.0,0.0,-0.12995648,-0.13890696,0.0
0.0,0.0,-0.13521099,-0.10509157,0.0
0.0,0.0,-0.14340615,-0.16390038,0.0
0.0,0.0,6.148986,0.18413734,0.0
0.0,0.0,-0.118202925,0.31992579,0.0
0.0,0.0,-0.09953904,0.37327445,0.0
0.0,0.0,-0.096039295,0.06999993,0.0
0.0,0.0,-0.0710547,0.49968958,0.0
0.0,0.0,-0.059053183,0.24002719,0.0
0.0,0.0,-0.05190611,0.14294791,0.0
0.0,0.0,-0.024478912,0.54854023,0.0
0.0,0.0,0.0056746006,0.603069,0.0
0.0,0.0,0.04098773,0.70626545,0.0
0.0,0.0,0.059828043,0.37680298,0.0
0.0,0.0,0.06981683,0.1997788,0.0
0.0,0.0,0.07187915,0.041245103,0.0
0.0,0.0,0.08187103,0.19983768,0.0
0.0,0.0,0.093859434,0.23976982,0.0
0.0,0.0,0.099981785,0.12244439,0.0
0.0,0.0,-6.190815,-0.15222585,0.0
0.0,0.0,0.08755994,-0.096209645,0.0
0.0,0.0,0.09586573,0.16611564,0.0
0.0,0.0,0.08686614,-0.1799941,0.0
0.0,0.0,0.07630086,-0.21130228,0.0
0.0,0.0,0.061823845,-0.2895403,0.0
0.0,0.0,0.042598724,-0.38450414,0.0
0.0,0.0,0.012216091,-0.60765016,0.0
0.0,0.0,-0.013515234,-0.5146313,0.0
0.0,0.0,-0.030673504,-0.3431616,0.0
0.0,0.0,-0.044267893,-0.2718866,0.0
0.0,0.0,-0.059536934,-0.30538362,0.0
0.0,0.0,-0.07615256,-0.33231437,0.0
0.0,0.0,-0.07685518,-0.014046669,0.0
0.0,0.0,-0.078011274,-0.023126364,0.0
0.0,0.0,-0.06875563,0.18511415,0.0
0.0,0.0,6.1987257,-0.31408632,0.0
0.0,0.0,-0.07550764,0.17904615,0.0
0.0,0.0,-0.084214926,-0.17414558,0.0
0.0,0.0,-0.08291793,0.02594161,0.0
0.0,0.0,-0.05982113,0.46193433,0.0
0.0,0.0,-0.038844824,0.41952384,0.0
0.0,0.0,-0.019908428,0.3787312,0.0
0.0,0.0,-0.008152485,0.23512036,0.0
0.0,0.0,-0.006611824,0.030809492,0.0
0.0,0.0,0.0014681816,0.16160032,0.0
