Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1,Global 0
0.0,0.0,0.19292617,0.8965974,0.0
0.0,0.0,0.22419858,0.62544847,0.0
0.0,0.0,0.25057387,0.5275011,0.0
0.0,0.0,0.27516937,0.49191475,0.0
0.0,0.0,-6.010169,-0.04305458,0.0
0.0,0.0,0.2589662,-0.28101206,0.0
0.0,0.0,0.22661829,-0.6469536,0.0
0.0,0.0,0.19165015,-0.69936466,0.0
0.0,0.0,0.15350008,-0.76300406,0.0
0.0,0.0,0.11070979,-0.85580444,0.0
0.0,0.0,0.083355546,-0.5470835,0.0
0.0,0.0,0.048434496,-0.698422,0.0
0.0,0.0,0.016999364,-0.6287025,0.0
0.0,0.0,-0.009994507,-0.53987586,0.0
0.0,0.0,-0.054595828,-0.89202684,0.0
0.0,0.0,-0.09582448,-0.8245745,0.0
0.0,0.0,-0.12441254,-0.57175887,0.0
0.0,0.0,-0.1604774,-0.7212992,0.0
0.0,0.0,-0.20413423,-0.8731363,0.0
0.0,0.0,-0.23032284,-0.52377605,0.0
0.0,0.0,-0.23513985,-0.096334934,0.0
0.0,0.0,6.0365005,-0.23089981,0.0
0.0,0.0,-0.25136542,-0.09361601,0.0
0.0,0.0,-0.2270124,0.48706532,0.0
0.0,0.0,-0.20510554,0.4381342,0.0
0.0,0.0,-0.1851728,0.3986559,0.0
0.0,0.0,-0.16825652,0.33832622,0.0
0.0,0.0,-0.12716198,0.8218889,0.0
0.0,0.0,-0.08634138,0.8164147,0.0
0.0,0.0,-0.03798282,0.96717036,0.0
0.0,0.0,-0.010353446,0.55258656,0.0
0.0,0.0,0.014308095,0.49323082,0.0
0.0,0.0,0.05710113,0.8558593,0.0
0.0,0.0,0.08362973,0.5305735,0.0
0.0,0.0,0.10818875,0.4911796,0.0
0.0,0.0,0.13521576,0.5405419,0.0
0.0,0.0,0.17431974,0.78207946,0.0
0.0,0.0,0.20066309,0.52686787,0.0
0.0,0.0,0.20614815,0.10970068,0.0
0.0,0.0,0.21716547,0.2203455,0.0
0.0,0.0,-6.0563316,0.19375944,0.0
0.0,0.0,0.22368431,-0.063382626,0.0
0.0,0.0,0.21338224,-0.20604134,0.0
0.0,0.0,0.18544412,-0.558764,0.0
0.0,0.0,0.17064667,-0.29594803,0.0
0.0,0.0,0.14291406,-0.5546522,0.0
0.0,0.0,0.11675441,-0.523191,0.0
0.0,0.0,0.09670746,-0.4009421,0.0
0.0,0.0,0.058793068,-0.7582853,0.0
0.0,0.0,0.033863306,-0.49859607,0.0
0.0,0.0,-0.017569661,-1.0286592,0.0
0.0,0.0,-0.06807375,-1.010083,0.0
0.0,0.0,-0.10120392,-0.6626024,0.0
0.0,0.0,-0.14140046,-0.80392814,0.0
0.0,0.0,-0.18108916,-0.7937777,0.0
0.0,0.0,-0.2158823,-0.6958637,0.0
0.0,0.0,-0.2434969,-0.552289,0.0
0.0,0.0,-0.25084853,-0.14703369,0.0
0.0,0.0,6.029251,-0.061718464,0.0
0.0,0.0,-0.24092889,0.26011372,0.0
0.0,0.0,-0.21792555,0.46006012,0.0
0.0,0.0,-0.18725348,0.6134496,0.0
0.0,0.0,-0.16392612,0.4665401,0.0
0.0,0.0,-0.13631988,0.5521276,0.0
0.0,0.0,-0.09077835,0.9108319,0.0
0.0,0.0,-0.05165124,0.7825413,0.0
0.0,0.0,-0.029223204,0.4485609,0.0
0.0,0.0,0.007433772,0.7331399,0.0
0.0,0.0,0.038412213,0.6195693,0.0
0.0,0.0,0.087821245,0.9881813,0.0
0.0,0.0,0.106654644,0.3766625,0.0
0.0,0.0,0.14144325,0.69577813,0.0
0.0,0.0,0.17637682,0.6986673,0.0
0.0,0.0,0.19349837,0.3424344,0.0
0.0,0.0,0.22509813,0.63199186,0.0
0.0,0.0,0.24541998,0.4064417,0.0
0.0,0.0,-6.024857,0.25816393,0.0
0.0,0.0,0.23475003,-0.47156525,0.0
0.0,0.0,0.21948361,-0.30533028,0.0
0.0,0.0,0.18914008,-0.6068692,0.0
0.0,0.0,0.17047071,-0.37338924,0.0
0.0,0.0,0.141734,-0.57473135,0.0
0.0,0.0,0.10791898,-0.6763022,0.0
0.0,0.0,0.060123324,-0.9559107,0.0
0.0,0.0,0.02458167,-0.7108351,0.0
0.0,0.0,-0.008382201,-0.6592765,0.0
0.0,0.0,-0.03156936,-0.46374512,0.0
0.0,0.0,-0.065647244,-0.68155515,0.0
