Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1
0.0,0.0,-1.482572317123413,0.10954354703426361
0.0,0.0,-1.5079935789108276,-0.5084259510040283
0.0,0.0,-1.5677580833435059,-1.1952893733978271
0.0,0.0,-1.6636759042739868,-1.918355941772461
0.0,0.0,-1.7992223501205444,-2.710930347442627
0.0,0.0,-1.9669179916381836,-3.353911876678467
0.0,0.0,-2.171082019805908,-4.083282947540283
0.0,0.0,-2.394437074661255,-4.467099666595459
0.0,0.0,-2.6293654441833496,-4.698568344116211
0.0,0.0,-2.8861701488494873,-5.1360931396484375
0.0,0.0,3.1394877433776855,-5.150548458099365
0.0,0.0,2.882905960083008,-5.1316328048706055
0.0,0.0,2.6379587650299072,-4.8989481925964355
0.0,0.0,2.423877000808716,-4.2816314697265625
0.0,0.0,2.2215890884399414,-4.045760631561279
0.0,0.0,2.036750078201294,-3.696780204772949
0.0,0.0,1.8710198402404785,-3.3146040439605713
0.0,0.0,1.7510908842086792,-2.3985793590545654
0.0,0.0,1.676398754119873,-1.4938420057296753
0.0,0.0,1.6500980854034424,-0.5260128378868103
0.0,0.0,1.675538182258606,0.5088011026382446
0.0,0.0,1.7472474575042725,1.4341859817504883
0.0,0.0,1.8547189235687256,2.149428129196167
0.0,0.0,2.0066049098968506,3.0377187728881836
0.0,0.0,2.1810338497161865,3.4885802268981934
0.0,0.0,2.3903920650482178,4.187166690826416
0.0,0.0,2.614645481109619,4.485065937042236
0.0,0.0,2.8710975646972656,5.129040241241455
0.0,0.0,3.1382253170013428,5.342555522918701
0.0,0.0,-2.8802661895751953,5.293878555297852
0.0,0.0,-2.63232421875,4.9588398933410645
0.0,0.0,-2.394437789916992,4.757726192474365
0.0,0.0,-2.1833503246307373,4.221750736236572
0.0,0.0,-2.0008914470672607,3.649174451828003
0.0,0.0,-1.8669538497924805,2.678753614425659
0.0,0.0,-1.7653545141220093,2.0319862365722656
0.0,0.0,-1.6971848011016846,1.363393783569336
0.0,0.0,-1.662708044052124,0.6895365118980408
0.0,0.0,-1.652260422706604,0.20895105600357056
0.0,0.0,-1.6737339496612549,-0.429469496011734
0.0,0.0,-1.7367236614227295,-1.2597947120666504
0.0,0.0,-1.8385874032974243,-2.0372748374938965
0.0,0.0,-1.970685601234436,-2.6419641971588135
0.0,0.0,-2.1505184173583984,-3.5966570377349854
0.0,0.0,-2.3567214012145996,-4.124058246612549
0.0,0.0,-2.5843076705932617,-4.5517258644104
0.0,0.0,-2.8404157161712646,-5.122159481048584
0.0,0.0,-3.1187801361083984,-5.567286968231201
0.0,0.0,2.879648447036743,-5.695137977600098
0.0,0.0,2.6005136966705322,-5.5826921463012695
0.0,0.0,2.3427999019622803,-5.15427827835083
0.0,0.0,2.1101133823394775,-4.653731822967529
0.0,0.0,1.924255132675171,-3.717162609100342
0.0,0.0,1.761640191078186,-3.2522997856140137
0.0,0.0,1.6271106004714966,-2.6905903816223145
0.0,0.0,1.5198609828948975,-2.144993543624878
0.0,0.0,1.4546558856964111,-1.3041013479232788
0.0,0.0,1.4192969799041748,-0.7071789503097534
0.0,0.0,1.4199978113174438,0.014016963541507721
0.0,0.0,1.4501057863235474,0.6021608710289001
0.0,0.0,1.5072101354599,1.1420869827270508
0.0,0.0,1.5900499820709229,1.6567963361740112
0.0,0.0,1.715072751045227,2.500455141067505
0.0,0.0,1.8663513660430908,3.0255725383758545
0.0,0.0,2.0444014072418213,3.561002254486084
0.0,0.0,2.2518856525421143,4.149684906005859
0.0,0.0,2.4981329441070557,4.924946308135986
0.0,0.0,2.7547922134399414,5.133182048797607
0.0,0.0,3.035735607147217,5.618869304656982
0.0,0.0,-2.974661111831665,5.455772876739502
0.0,0.0,-2.6938095092773438,5.617030620574951
0.0,0.0,-2.4301347732543945,5.273495197296143
0.0,0.0,-2.176642417907715,5.06984806060791
0.0,0.0,-1.950830340385437,4.516239643096924
0.0,0.0,-1.7526649236679077,3.963308811187744
0.0,0.0,-1.6052054166793823,2.949190855026245
0.0,0.0,-1.5017393827438354,2.069319009780884
0.0,0.0,-1.4470782279968262,1.0932246446609497
0.0,0.0,-1.435746192932129,0.2266412228345871
0.0,0.0,-1.473010778427124,-0.7452930808067322
0.0,0.0,-1.5530568361282349,-1.60092031955719
0.0,0.0,-1.6731690168380737,-2.4022445678710938
0.0,0.0,-1.8436604738235474,-3.4098293781280518
0.0,0.0,-2.044490337371826,-4.016598224639893
0.0,0.0,-2.276693105697632,-4.644054412841797
0.0,0.0,-2.5444726943969727,-5.355593204498291
0.0,0.0,-2.8326399326324463,-5.763341426849365
0.0,0.0,3.138794183731079,-6.235023021697998
0.0,0.0,2.8294265270233154,-6.187356472015381
0.0,0.0,2.544454574584961,-5.699438095092773
0.0,0.0,2.275125026702881,-5.386588096618652
0.0,0.0,2.0393948554992676,-4.714607238769531
0.0,0.0,1.8260759115219116,-4.266376972198486
0.0,0.0,1.655531644821167,-3.41088604927063
0.0,0.0,1.5160349607467651,-2.789933204650879
0.0,0.0,1.404477834701538,-2.23114275932312
0.0,0.0,1.332498550415039,-1.4395842552185059
0.0,0.0,1.2825629711151123,-0.9987138509750366
0.0,0.0,1.278448462486267,-0.08228915184736252
0.0,0.0,1.2953836917877197,0.33870553970336914
