Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1
0.0,0.0,2.22655987739563,0.5345723032951355
0.0,0.0,2.28946590423584,1.2581228017807007
0.0,0.0,2.383680582046509,1.8842926025390625
0.0,0.0,2.505019426345825,2.4267773628234863
0.0,0.0,2.64635968208313,2.8268027305603027
0.0,0.0,2.8098978996276855,3.2707667350769043
0.0,0.0,2.9837756156921387,3.477553367614746
0.0,0.0,-3.1078851222991943,3.830489158630371
0.0,0.0,-2.903714656829834,4.08341121673584
0.0,0.0,-2.7118773460388184,3.836745262145996
0.0,0.0,-2.5269112586975098,3.6993212699890137
0.0,0.0,-2.3627045154571533,3.28413462638855
0.0,0.0,-2.222799777984619,2.7980949878692627
0.0,0.0,-2.0999348163604736,2.4573006629943848
0.0,0.0,-2.022310256958008,1.5524905920028687
0.0,0.0,-1.9908138513565063,0.6299275159835815
0.0,0.0,-2.007951498031616,-0.34275275468826294
0.0,0.0,-2.049083948135376,-0.8226506114006042
0.0,0.0,-2.115163803100586,-1.3215948343276978
0.0,0.0,-2.2022228240966797,-1.7411787509918213
0.0,0.0,-2.305192708969116,-2.0593974590301514
0.0,0.0,-2.4270215034484863,-2.4365789890289307
0.0,0.0,-2.5745797157287598,-2.9511613845825195
0.0,0.0,-2.733863592147827,-3.1856801509857178
0.0,0.0,-2.919469118118286,-3.7121095657348633
0.0,0.0,-3.109138250350952,-3.7933831214904785
0.0,0.0,2.972461700439453,-4.031707763671875
0.0,0.0,2.7905285358428955,-3.6386618614196777
0.0,0.0,2.6221470832824707,-3.3676300048828125
0.0,0.0,2.469820261001587,-3.0465335845947266
0.0,0.0,2.3337693214416504,-2.721019744873047
0.0,0.0,2.2330498695373535,-2.0143909454345703
0.0,0.0,2.1605875492095947,-1.4492443799972534
0.0,0.0,2.1213431358337402,-0.7848913669586182
0.0,0.0,2.099621057510376,-0.4344385266304016
0.0,0.0,2.1138057708740234,0.28369322419166565
0.0,0.0,2.163459300994873,0.9930688142776489
0.0,0.0,2.247725248336792,1.68532133102417
0.0,0.0,2.374535083770752,2.5361952781677246
0.0,0.0,2.532825231552124,3.165802240371704
0.0,0.0,2.7083451747894287,3.510399580001831
0.0,0.0,2.897719383239746,3.7874841690063477
0.0,0.0,3.1020774841308594,4.087160110473633
0.0,0.0,-2.98846173286438,3.852924346923828
0.0,0.0,-2.796532392501831,3.8385844230651855
0.0,0.0,-2.612168550491333,3.687277317047119
0.0,0.0,-2.455432176589966,3.1347296237945557
0.0,0.0,-2.3335869312286377,2.4369068145751953
0.0,0.0,-2.2443878650665283,1.7839807271957397
0.0,0.0,-2.188586950302124,1.116017460823059
0.0,0.0,-2.1612486839294434,0.5467653274536133
0.0,0.0,-2.166903257369995,-0.11309044808149338
0.0,0.0,-2.188938856124878,-0.4407118260860443
0.0,0.0,-2.2534737586975098,-1.290702223777771
0.0,0.0,-2.3558382987976074,-2.047290802001953
0.0,0.0,-2.494889736175537,-2.7810239791870117
0.0,0.0,-2.6519434452056885,-3.141077995300293
0.0,0.0,-2.834035634994507,-3.6418402194976807
0.0,0.0,-3.0284905433654785,-3.8891022205352783
0.0,0.0,3.048340082168579,-4.1270928382873535
0.0,0.0,2.8352463245391846,-4.2618727684021
0.0,0.0,2.6217732429504395,-4.26946496963501
0.0,0.0,2.431617021560669,-3.80312442779541
0.0,0.0,2.255049228668213,-3.531353235244751
0.0,0.0,2.098437547683716,-3.132235288619995
0.0,0.0,1.9702874422073364,-2.563002347946167
0.0,0.0,1.8863142728805542,-1.6794620752334595
0.0,0.0,1.825903058052063,-1.2082244157791138
0.0,0.0,1.8119165897369385,-0.2797302305698395
0.0,0.0,1.822228193283081,0.20623210072517395
0.0,0.0,1.8831543922424316,1.2185256481170654
0.0,0.0,1.9788256883621216,1.913425087928772
0.0,0.0,2.1232211589813232,2.8879101276397705
0.0,0.0,2.3026840686798096,3.5892584323883057
0.0,0.0,2.517221689224243,4.290751934051514
0.0,0.0,2.7398569583892822,4.452704906463623
0.0,0.0,2.97063946723938,4.615651607513428
0.0,0.0,-3.086777687072754,4.5153608322143555
0.0,0.0,-2.8691799640655518,4.351953983306885
0.0,0.0,-2.673110008239746,3.921398878097534
0.0,0.0,-2.4994330406188965,3.473539113998413
0.0,0.0,-2.350787878036499,2.972902297973633
0.0,0.0,-2.241878032684326,2.178201198577881
0.0,0.0,-2.156561851501465,1.7063223123550415
0.0,0.0,-2.1004960536956787,1.1213163137435913
0.0,0.0,-2.083829402923584,0.3333308696746826
0.0,0.0,-2.099137783050537,-0.3061651587486267
0.0,0.0,-2.1590144634246826,-1.1975340843200684
0.0,0.0,-2.247810125350952,-1.7759143114089966
0.0,0.0,-2.3529562950134277,-2.102921724319458
0.0,0.0,-2.490147590637207,-2.7438249588012695
0.0,0.0,-2.6450541019439697,-3.098130941390991
0.0,0.0,-2.828871011734009,-3.6763410568237305
0.0,0.0,-3.017735242843628,-3.7772817611694336
0.0,0.0,3.0656354427337646,-3.9962940216064453
0.0,0.0,2.8591620922088623,-4.1294660568237305
0.0,0.0,2.6657352447509766,-3.8685402870178223
0.0,0.0,2.4750900268554688,-3.8129000663757324
0.0,0.0,2.3174972534179688,-3.15185546875
0.0,0.0,2.1725680828094482,-2.898587942123413
