Component 0,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
0.02671398725465225,-0.045126498510498464,0.0186250904860275,0.07783858340178917,-0.2276243804987038,0.13907277436215382,-0.48757232396958183,0.9529097591521822
0.027294482652312654,-0.05672304470349909,0.05323580763432258,0.07081692916659846,0.008166563798276981,-0.10853904270425238,-0.0952462786504632,0.7799126531241118
0.030221064666137505,-0.07671317719694239,0.10204637846089772,0.058478646258324316,-0.37344244241702046,0.24926609259544036,-0.8870353995691858,1.632828058820772
0.05030746517872273,-0.13842191835383005,0.20226438407135486,0.004135433916393691,-0.9175959048543856,0.7259183340442613,-2.117814572604535,3.2573480473922567
0.05006289486372171,-0.1660716198881323,0.28281635630056484,0.02443443735362258,0.5251965060688935,-0.6983844926104916,0.6369124222821797,0.9013602404359357
0.008863179170965435,-0.11680895310771947,0.3025757398540845,0.07030754945789572,1.1612113637115942,-1.3369390199698878,1.7878899997867994,0.10526608521915409
-0.03625187636930801,-0.06847299197260766,0.340590305337524,0.019863857754384217,0.6842006963574483,-0.9327222513490341,0.6684224925559306,1.7283882052159256
-0.05628774674945807,-0.059144772626146765,0.3918844923426053,0.025272700281849914,-0.02132435424201698,-0.09031050446056335,-0.19103739323286678,0.8901938815822119
-0.028184685487163012,-0.12811352863714742,0.4793249799302131,-0.17888834338585072,-1.55326020471645,1.4220101602321837,-3.0986757883790075,3.3056791633578526
0.014010587376882688,-0.23184258889409495,0.610292637038763,-0.2021513204151234,-0.9168678067850643,0.7192219259940316,-2.1323717103376083,3.250403557690881
0.020286703166367936,-0.28184426539218554,0.7265997695516098,-0.18936262156613,0.11224753394057099,-0.37655135864076045,-0.42045744821365244,2.6036225141032694
0.010979776562741905,-0.3097617308553087,0.8391384486348966,-0.27806110863235034,-0.170111628741062,-0.09858393536799563,-0.9511499651946125,2.9911485832377243
