Node 0 - Component 0,Node 0 - Component 1,Node 0 - Component 2,Node 0 - Component 3,Node 0 - Component 4,Node 0 - Component 5
0.023244722,0.0028715003,0.0016991664,0.58050925,-0.38847587,1.2852434
0.001466848,0.0071252054,-0.0053934497,0.9745469,0.2063971,0.020271817
-0.0030806588,0.0,0.0,-1.1520965,0.0,0.0
-0.009816274,0.001285204,-0.065081514,0.082208574,-7.338562,-12.033986
-0.097810835,0.0,0.0,-1.8152964,0.0,0.0
-0.010653622,-0.03945377,0.0,-3.6163094,3.8742018,0.0
0.037263706,0.0,0.0,-1.9677868,0.0,0.0
-0.0095943995,-0.026987959,0.0,-3.4153242,-0.52061045,0.0
-0.009013198,0.0,0.0,0.0,0.0,0.0
0.012322687,0.02252512,-0.031953335,1.6405952,-3.5258863,5.1704946
0.05373893,-0.04425536,-0.025169315,-5.3625464,-2.3531356,-0.45131177
-0.007577177,0.0,0.0,-4.372769,0.0,0.0
-0.05458907,-0.08280977,-0.17045347,-7.564909,-6.607594,-12.649923
-0.2817758,0.0,0.0,-0.96511734,0.0,0.0
-0.033341303,-0.09739389,0.0,-3.5518596,2.3846052,0.0
0.08604001,0.0,0.0,-2.421546,0.0,0.0
-0.0460872,-0.08754286,0.0,-4.2837195,-2.9339314,0.0
-0.03819153,0.0,0.0,0.0,0.0,0.0
-0.020257782,-0.027379803,-0.019638902,-5.805984,3.9121983,-2.5544963
0.06508765,-0.10529826,-0.0068333168,-3.6044612,2.635666,-5.1784916
-0.044670694,0.0,0.0,1.3543272,0.0,0.0
-0.07036872,-0.14029486,-0.1616523,-2.1122355,4.9861474,-1.7443523
-0.37423092,0.0,0.0,2.1587486,0.0,0.0
-0.022321137,-0.09286546,0.0,2.9986246,-2.202779,0.0
0.08190011,0.0,0.0,2.3047223,0.0,0.0
-0.038923338,-0.13603663,0.0,-2.0129228,-2.2959569,0.0
-0.07553908,0.0,0.0,0.0,0.0,0.0
-0.049531374,0.02657336,0.037246116,8.531527,3.920865,-0.9769559
0.044916447,-0.071731664,-0.11389781,4.053927,-12.26486,-11.429645
-0.1890494,0.0,0.0,3.0875316,0.0,0.0
-0.035610467,-0.16397038,-0.2227499,-1.2070196,-8.944109,-5.2374315
-0.44083837,0.0,0.0,2.5361867,0.0,0.0
0.019376231,-0.10243331,0.0,-2.8465722,0.76427484,0.0
0.07433659,0.0,0.0,0.26456118,0.0,0.0
-0.02942944,-0.13950847,0.0,0.22546983,-1.0575554,0.0
-0.09848067,0.0,0.0,0.0,0.0,0.0
-0.09237568,0.05698515,0.06758249,-1.4323072,0.56569934,1.1308045
0.046681408,-0.025330361,-0.20668049,2.7776668,-2.8806696,-11.541176
-0.35219118,0.0,0.0,-1.0984759,0.0,0.0
-0.027289033,-0.15285239,-0.25133502,1.714853,2.3471613,-0.567307
-0.4755901,0.0,0.0,0.20215893,0.0,0.0
0.033305258,-0.11849571,0.0,0.043299437,1.9298007,0.0
0.09502405,0.0,0.0,1.8591998,0.0,0.0
-0.009750912,-0.16560651,0.0,-2.5955129,-3.1812406,0.0
-0.13360855,0.0,0.0,0.0,0.0,0.0
-0.081770085,0.023526955,0.10334279,-2.5733922,3.7750893,-1.7237697
0.04062704,-0.047372863,-0.18718816,-3.1443875,4.3718576,0.82043076
-0.42240885,0.0,0.0,2.32544,0.0,0.0
-0.013677149,-0.17683394,-0.23902303,-3.594936,-0.75303936,-6.4277205
-0.5306846,0.0,0.0,2.2587247,0.0,0.0
0.054084133,-0.09697519,0.0,2.0298557,-1.7598711,0.0
0.09153322,0.0,0.0,3.761704,0.0,0.0
0.036219165,-0.19348876,0.0,-1.6106156,-3.6198502,0.0
-0.18176739,0.0,0.0,0.0,0.0,0.0
-0.07302541,-0.0357989,0.14268792,-4.2258344,1.4822779,-0.07747984
0.02639555,-0.035244837,-0.11932836,2.7563562,3.9893763,-6.591999
-0.4676892,0.0,0.0,-0.42157173,0.0,0.0
-0.002226566,-0.1862012,-0.15999892,1.6170866,9.69611,9.044119
-0.50283635,0.0,0.0,2.2900023,0.0,0.0
0.08608515,-0.0652779,0.0,2.2412987,-1.5414503,0.0
0.06771773,0.0,0.0,2.3063748,0.0,0.0
0.08165062,-0.22298352,0.0,-1.7383076,-6.2143083,0.0
-0.2588811,0.0,0.0,0.0,0.0,0.0
-0.11451865,-0.074018106,0.17181493,-2.2446365,2.2535655,-1.6127499
0.014295355,0.051106364,-0.14664498,6.4684386,-5.1631584,-21.994024
-0.70349145,0.0,0.0,2.0317826,0.0,0.0
0.0115651805,-0.18467936,-0.054359898,-0.41159487,5.483016,2.1363878
-0.42105797,0.0,0.0,2.15926,0.0,0.0
0.1211685,-0.030051343,0.0,2.8023562,1.2198062,0.0
0.06727358,0.0,0.0,2.8533688,0.0,0.0
0.11905616,-0.23603423,0.0,-0.28217208,-2.3225968,0.0
-0.32039347,0.0,0.0,0.0,0.0,0.0
-0.078814745,-0.12657957,0.18825686,-4.3545923,0.36360574,-1.5081537
-0.008820212,0.017179687,-0.1741449,-6.1536164,0.7579074,-15.346936
-0.972789,0.0,0.0,0.5659119,0.0,0.0
0.030771762,-0.18625395,-0.039390124,-0.79081,-1.9855423,-15.10842
-0.53566015,0.0,0.0,0.14327002,0.0,0.0
0.13834406,0.033961706,0.0,5.1103973,-2.5247343,0.0
0.053968042,0.0,0.0,3.651797,0.0,0.0
0.16961178,-0.24110489,0.0,-0.8058922,-3.92749,0.0
-0.3655424,0.0,0.0,0.0,0.0,0.0
-0.0041659027,-0.19854727,0.19671361,-4.3723717,0.86700565,-0.58708805
-0.023876382,-0.023560392,-0.1009569,-0.5172086,7.757382,-6.465602
-1.1294338,0.0,0.0,1.84857,0.0,0.0
0.048102114,-0.13233098,-0.034381337,5.7230916,1.8173531,-13.893289
-0.7506137,0.0,0.0,1.8294299,0.0,0.0
0.15196766,0.09487494,0.0,2.929518,-3.9034276,0.0
0.004989639,0.0,0.0,1.6474977,0.0,0.0
0.21004063,-0.25892493,0.0,-1.252853,-6.084131,0.0
-0.44276077,0.0,0.0,0.0,0.0,0.0
-0.002141339,-0.28028086,0.22720101,-5.5232024,2.5649703,-1.2742149
-0.038399033,0.013498995,0.04218155,3.4412558,10.416358,-3.491856
-1.2036817,0.0,0.0,1.5929968,0.0,0.0
0.07262055,-0.121041805,0.07031412,-1.3210673,9.846682,-0.98012733
-0.8480144,0.0,0.0,0.42061114,0.0,0.0
0.16636556,0.1289193,0.0,1.6222682,-1.8561695,0.0
-0.03651507,0.0,0.0,0.093618035,0.0,0.0
0.22438885,-0.2748809,0.0,-0.37915367,-1.5440083,0.0
-0.5004286,0.0,0.0,0.0,0.0,0.0
-0.068302184,-0.38719618,0.2611769,-7.6969314,2.1165302,2.1639261
-0.02858641,0.07941937,0.22027637,4.465104,12.539821,-6.651682
-1.2785653,0.0,0.0,-1.7575705,0.0,0.0
0.06729022,-0.1646635,0.2603234,-3.4149024,14.262056,2.0390563
-0.8361271,0.0,0.0,-2.6313794,0.0,0.0
0.14568087,0.14709109,0.0,0.7403763,-1.4342476,0.0
-0.059907608,0.0,0.0,0.6386958,0.0,0.0
0.23087521,-0.30519503,0.0,-2.9763935,-3.5674644,0.0
-0.5422844,0.0,0.0,0.0,0.0,0.0
-0.09848527,-0.4158746,0.28070727,1.4242921,0.8029516,0.26456058
-0.015180965,0.10735971,0.33922508,0.9210458,5.691269,-9.908456
-1.4080023,0.0,0.0,1.9888972,0.0,0.0
0.07917169,-0.16833939,0.34301564,0.58071446,0.3356037,-12.389179
-0.9312886,0.0,0.0,-0.39997172,0.0,0.0
0.13093515,0.13571325,0.0,-1.4718142,-1.1339935,0.0
-0.07889512,0.0,0.0,-2.638502,0.0,0.0
0.20983438,-0.31926137,0.0,0.2171464,-1.2108626,0.0
-0.5744181,0.0,0.0,0.0,0.0,0.0
-0.093023494,-0.3284189,0.2768832,8.676432,-0.7804376,1.5310172
-0.0007034717,0.10443189,0.36886066,-1.0164666,-0.46338606,-6.4995832
-1.5325905,0.0,0.0,-0.09763253,0.0,0.0
0.092401065,-0.15550044,0.2881771,1.0170685,-6.2213907,-9.514768
-1.0998902,0.0,0.0,1.8192554,0.0,0.0
0.14623874,0.06269658,0.0,-7.3233094,3.4898524,0.0
-0.05768282,0.0,0.0,-6.143086,0.0,0.0
0.13726638,-0.31556407,0.0,0.13234974,-1.5894023,0.0
-0.59607893,0.0,0.0,0.0,0.0,0.0
-0.05316008,-0.20726085,0.27588066,7.69561,0.47743928,-2.9193912
-0.017085867,0.057813246,0.3678001,-4.303264,0.16629335,-5.649671
-1.6220907,0.0,0.0,-0.13963504,0.0,0.0
0.0908078,-0.14810526,0.20473923,-0.19696045,-4.960299,-8.328667
-1.2334788,0.0,0.0,3.1737666,0.0,0.0
0.18590435,-0.011352882,0.0,-3.090612,-0.7828238,0.0
-0.041628744,0.0,0.0,-2.666854,0.0,0.0
0.07517529,-0.30161577,0.0,1.3764515,-3.5515764,0.0
-0.6333036,0.0,0.0,0.0,0.0,0.0
-0.04222045,-0.1096782,0.26115268,5.317123,-2.30403,-2.3694756
-0.05499606,0.005373113,0.35949835,-2.9625916,-0.9760516,-10.115034
-1.7423909,0.0,0.0,-0.06321987,0.0,0.0
0.089353316,-0.1442029,0.12319789,0.76744545,-5.729246,-12.533706
-1.3919282,0.0,0.0,-1.33639,0.0,0.0
0.19425212,-0.078056835,0.0,-5.149833,4.4957223,0.0
-0.0076556467,0.0,0.0,-4.472081,0.0,0.0
0.01767645,-0.32252905,0.0,-3.2876544,-7.046406,0.0
-0.7188158,0.0,0.0,0.0,0.0,0.0
-0.07373236,-0.064905174,0.2309299,1.199388,-1.7530612,-3.092393
-0.09574181,-0.028389629,0.3567611,-2.081577,0.26005387,-8.232709
-1.8804551,0.0,0.0,-1.9102525,0.0,0.0
0.07160556,-0.16192748,0.092899606,-2.1468031,0.8726692,-7.048544
-1.5341876,0.0,0.0,-0.985643,0.0,0.0
0.17678297,-0.12899439,0.0,-2.1776345,3.8808768,0.0
0.053726472,0.0,0.0,-1.0586209,0.0,0.0
-0.019925471,-0.34786016,0.0,-0.41423678,-0.12721157,0.0
-0.766725,0.0,0.0,0.0,0.0,0.0
-0.12201053,-0.06767197,0.18967095,-1.2470452,-3.357082,0.62879443
-0.107592665,-0.007997364,0.358422,3.452192,-0.0029781163,-10.527193
-2.0233455,0.0,0.0,-3.2771838,0.0,0.0
0.027652241,-0.2198786,0.14606819,-4.3639283,5.427418,-4.5093184
-1.6183068,0.0,0.0,-0.7326209,0.0,0.0
0.16363949,-0.13576901,0.0,0.89429426,2.6122422,0.0
0.100986555,0.0,0.0,1.3325051,0.0,0.0
-0.015723519,-0.3471604,0.0,0.481172,-1.8790781,0.0
-0.7816209,0.0,0.0,0.0,0.0,0.0
-0.09953,-0.06509444,0.18919624,0.9123162,2.0320115,-4.9711
-0.15385592,0.009967686,0.35724273,0.8698008,-0.104154184,-8.810675
-2.166553,0.0,0.0,5.181863,0.0,0.0
0.059850812,-0.22869503,0.15989769,0.7739682,-1.8107839,-9.607176
-1.7284309,0.0,0.0,1.2331262,0.0,0.0
0.1718625,-0.11446943,0.0,1.7797449,2.5212193,0.0
0.13752487,0.0,0.0,3.4878087,0.0,0.0
0.0230412,-0.32423702,0.0,2.0245054,-1.2708303,0.0
-0.8019877,0.0,0.0,0.0,0.0,0.0
-0.043449093,-0.029197313,0.2092197,2.8674953,-2.9963455,0.6637845
-0.21437627,-0.013387887,0.3561213,-5.1153307,0.046485245,-7.273685
-2.2940433,0.0,0.0,-1.5252919,0.0,0.0
0.114374995,-0.19966032,0.09920749,3.861896,-5.1492033,-11.588525
-1.8904333,0.0,0.0,-0.041493773,0.0,0.0
0.17961152,-0.12447233,0.0,-3.565655,1.7901679,0.0
0.17135124,0.0,0.0,-1.6412101,0.0,0.0
0.046044767,-0.3167873,0.0,-0.16339922,-1.841273,0.0
-0.8294123,0.0,0.0,0.0,0.0,0.0
-0.003079567,0.011876805,0.04902084,3.2124467,-10.889042,8.644708
-0.09138208,-0.08970222,0.36054108,-3.8724933,0.40974197,-1.6091471
-2.3543556,0.0,0.0,-7.7331524,0.0,0.0
-0.005007185,-0.13455707,0.07363377,4.1844683,-0.23346281,-2.5272923
-2.0003357,0.0,0.0,1.3817617,0.0,0.0
0.17727788,-0.2287225,0.0,-9.963936,1.404872,0.0
0.19990008,0.0,0.0,-9.983543,0.0,0.0
-0.055128314,-0.29355702,0.0,3.4529583,-2.6237006,0.0
-0.86381143,0.0,0.0,0.0,0.0,0.0
-0.040632665,0.021551829,-0.045009863,-1.1753097,-3.219448,2.246544
-0.018666402,-0.094000176,0.36967835,1.584826,0.6275279,-5.7786417
-2.4104242,0.0,0.0,-3.2662973,0.0,0.0
-0.07961851,-0.13757886,0.10328801,-2.9877462,3.353611,1.3038533
-1.9959756,0.0,0.0,5.720401,0.0,0.0
0.23681162,-0.37749058,0.0,-9.051144,-4.250021,0.0
