Node 0 - Component 0,Node 0 - Component 1,Node 0 - Component 2,Node 0 - Component 3,Node 0 - Component 4,Node 0 - Component 5,Node 1 - Component 0,Node 1 - Component 1,Node 1 - Component 2,Node 1 - Component 3,Node 1 - Component 4,Node 1 - Component 5,Node 2 - Component 0,Node 2 - Component 1,Node 2 - Component 2,Node 2 - Component 3,Node 2 - Component 4,Node 2 - Component 5,Node 3 - Component 0,Node 3 - Component 1,Node 3 - Component 2,Node 3 - Component 3,Node 3 - Component 4,Node 3 - Component 5,Node 4 - Component 0,Node 4 - Component 1,Node 4 - Component 2,Node 4 - Component 3,Node 4 - Component 4,Node 4 - Component 5,Node 5 - Component 0,Node 5 - Component 1,Node 5 - Component 2,Node 5 - Component 3,Node 5 - Component 4,Node 5 - Component 5,Node 6 - Component 0,Node 6 - Component 1,Node 6 - Component 2,Node 6 - Component 3,Node 6 - Component 4,Node 6 - Component 5,Node 7 - Component 0,Node 7 - Component 1,Node 7 - Component 2,Node 7 - Component 3,Node 7 - Component 4,Node 7 - Component 5,Node 8 - Component 0,Node 8 - Component 1,Node 8 - Component 2,Node 8 - Component 3,Node 8 - Component 4,Node 8 - Component 5,Global 0,Global 1,Global 2,Global 3,Global 4,Global 5,Global 6,Global 7,Global 8,Global 9,Global 10,Global 11
-0.02794353,-0.013842184,-0.012808776,-1.737326,-1.6009991,2.0268867,0.025517236,-0.045041654,-0.00395966,-4.3638277,-0.64453375,-6.328334,-0.054610513,0.0,0.0,-2.4744005,0.0,0.0,-0.02126937,-0.082047544,0.027605921,-6.5329876,2.249024,-0.30185518,-0.008964315,0.0,0.0,-1.8638291,0.0,0.0,-0.02055032,0.0052393274,0.0,-0.061374202,-0.27150685,0.0,0.007650419,0.0,0.0,0.3479757,0.0,0.0,0.0074850935,-0.010260037,0.0,-1.637798,-0.8048039,0.0,-0.014523077,0.0,0.0,0.0,0.0,0.0,1.4079934,0.9999443,-0.0012789231,0.007915906,0.00685982,-0.16112234,0.05988901,-0.1857425,-0.020086763,0.30847356,0.6269148,-2.4489367
-0.020667633,-0.012808111,-0.027690243,1.8121983,-0.480826,0.5506192,0.043396942,-0.08084221,0.028407209,-1.1709607,3.8481128,7.0206847,-0.034547515,0.0,0.0,-1.111195,0.0,0.0,-0.046829525,-0.10350423,0.057690848,0.19685785,1.7433498,0.020873576,-0.010634783,0.0,0.0,2.1703174,0.0,0.0,-0.014429379,0.02314886,0.0,1.9454551,-4.584122,0.0,-0.033241134,0.0,0.0,-0.67989093,0.0,0.0,0.006255385,0.003931742,0.0,2.7961333,2.6490176,0.0,0.0030631742,0.0,0.0,0.0,0.0,0.0,1.4044023,0.9999976,-0.0018990621,0.00018306449,0.0010706291,-0.10009488,0.011641507,-0.30190533,-0.13295667,-2.201578,-1.7086992,2.011385
-0.016460987,0.06332918,-0.034698687,6.046601,-0.65639067,1.9329842,0.06473235,-0.015992204,-0.0026799964,6.2112784,-5.15252,-2.4116726,-0.014125345,0.0,0.0,-1.716477,0.0,0.0,-0.06391045,-0.062469453,-0.02213947,3.6801593,-9.5569515,-15.035967,-0.13927758,0.0,0.0,0.9535926,0.0,0.0,0.0115088485,0.022702044,0.0,-0.86585706,-3.3752708,0.0,-0.089133814,0.0,0.0,-1.8486537,0.0,0.0,-0.017858775,0.016065083,0.0,-1.243604,-1.3412713,0.0,0.010228706,0.0,0.0,0.0,0.0,0.0,1.3983656,0.9997725,-0.005068461,-0.02068908,-0.001118522,-0.023753893,0.1049107,-0.5331454,-0.6392844,-2.6566393,0.74086887,-0.73582655
-0.028412085,0.059610635,-0.033852246,-3.6504452,0.6044684,0.6171126,0.080793194,0.052216113,0.0055977996,3.8886087,3.7215586,-1.4513205,-0.03686952,0.0,0.0,-0.14357486,0.0,0.0,-0.07911091,0.0052803233,-0.0645498,4.874738,1.0726508,-8.950817,-0.30719036,0.0,0.0,-0.18999295,0.0,0.0,0.012163611,0.02685093,0.0,0.70117277,-0.9947651,0.0,-0.12184245,0.0,0.0,-1.1916504,0.0,0.0,-0.036275886,-0.026093982,0.0,-3.4975698,-0.39655668,0.0,-0.0037326394,0.0,0.0,0.0,0.0,0.0,1.3894763,0.99962646,-0.009932751,-0.024941549,0.0051177647,-0.3459936,0.09883986,-0.65891176,-0.6033925,0.45148596,0.8912967,-0.8320399
-0.013701188,-0.03558494,-0.027798854,-7.6254544,0.15715505,-0.016599674,0.086921215,0.014851672,0.11485423,-4.7800574,8.382108,0.84671134,-0.019727705,0.0,0.0,-0.19395289,0.0,0.0,-0.08125167,0.049642846,-0.008262441,1.8083005,5.1797028,-7.1876817,-0.42459208,0.0,0.0,-0.50451356,0.0,0.0,0.0052995626,0.052736953,0.0,2.2642174,-0.5278074,0.0,-0.13434935,0.0,0.0,0.9648563,0.0,0.0,-0.036226694,-0.079221986,0.0,-3.4278204,-1.3018376,0.0,-0.01659474,0.0,0.0,0.0,0.0,0.0,1.3779726,0.99976367,-0.013365148,-0.015512393,0.007306856,-0.5026906,0.05419217,-0.8940314,-0.3467485,1.6071496,-0.13342056,1.8434322
0.023978544,-0.14643966,-0.010254202,-7.5450783,1.8728287,-0.8342726,0.07934536,0.008049231,0.207265,1.1770914,4.746639,-7.0812073,-0.07265816,0.0,0.0,2.9359324,0.0,0.0,-0.05786023,0.10698989,0.040545654,4.606193,2.1680295,-14.108593,-0.59074014,0.0,0.0,-0.24364065,0.0,0.0,0.0017401761,0.10702886,0.0,4.7403655,-3.263738,0.0,-0.16493589,0.0,0.0,3.6885555,0.0,0.0,-0.00028376703,-0.12679198,0.0,-3.2295766,-0.02397296,0.0,-0.02436982,0.0,0.0,0.0,0.0,0.0,1.3619463,0.99984086,-0.017562896,-0.003067708,0.0005846804,-0.5884896,0.027823852,-1.2544677,-0.7294535,1.7995807,-1.3756708,2.9439309
0.035747338,-0.25581813,-0.005436188,-6.8845115,-0.78864723,0.8872187,0.07956881,-0.033955447,0.29318953,-4.271692,6.369772,-2.2694938,-0.13944179,0.0,0.0,-0.77840114,0.0,0.0,-0.045641977,0.15413997,0.07642004,2.4974992,2.5856864,-15.378559,-0.81402254,0.0,0.0,-2.4057877,0.0,0.0,-0.02204239,0.14059892,0.0,0.32548743,-1.1450409,0.0,-0.19412316,0.0,0.0,2.4820633,0.0,0.0,0.043352023,-0.2071555,0.0,-6.7831597,-3.9540277,0.0,-0.0587236,0.0,0.0,0.0,0.0,0.0,1.3405589,0.9996775,-0.023777582,0.00837867,0.0030557048,-0.5937856,0.17607442,-1.586974,-0.98212636,1.2071594,1.5642676,-0.79351807
-0.0021179032,-0.24898344,-0.011272178,4.347103,0.53235716,0.58557904,0.101156734,-0.03704503,0.21639621,1.3276116,-11.959818,-22.831247,-0.35787794,0.0,0.0,-0.0754057,0.0,0.0,-0.059954867,0.17690773,0.008273746,1.1195433,-8.194761,-20.96717,-1.0991285,0.0,0.0,0.9165153,0.0,0.0,-0.026219806,0.11625026,0.0,-2.3626914,-0.52425134,0.0,-0.20410338,0.0,0.0,-1.1233412,0.0,0.0,0.042198583,-0.27924797,0.0,-3.8852258,-2.1420922,0.0,-0.10236689,0.0,0.0,0.0,0.0,0.0,1.3169318,0.9994796,-0.02885427,0.0017181212,0.014319333,-0.23546153,0.22672582,-1.6825557,-0.57988393,-1.9682717,1.2840021,-3.5586758
-0.020309068,-0.26669124,0.015960384,-3.7768111,2.4235594,-1.8103142,0.08167679,-0.06587751,0.15653607,-2.9158878,0.48901814,-13.408968,-0.6119084,0.0,0.0,4.046834,0.0,0.0,-0.019055992,0.23233514,-0.006511131,4.7428465,3.2059631,-11.055868,-1.3267076,0.0,0.0,1.5324203,0.0,0.0,-0.011989346,0.111841634,0.0,0.6942412,0.038253907,0.0,-0.21037026,0.0,0.0,2.9001796,0.0,0.0,0.06507988,-0.35299084,0.0,-5.2339373,-4.0536065,0.0,-0.15001237,0.0,0.0,0.0,0.0,0.0,1.2889907,0.99914825,-0.036491774,-0.0022074464,0.019138051,-0.51082844,0.13016015,-1.9780797,-1.3524671,-0.01592019,0.16833067,0.23400217
-0.02005568,-0.27789086,0.01774701,0.6846754,-0.4700323,1.3276734,0.10208862,-0.0674079,0.103881456,-0.48202944,-5.667991,-15.104073,-0.83046997,0.0,0.0,-2.494881,0.0,0.0,-0.02924543,0.23347215,0.0058088186,-2.5170329,-0.19096333,-10.073457,-1.4899671,0.0,0.0,3.6435199,0.0,0.0,0.030546242,0.14832157,0.0,3.9521275,-3.551154,0.0,-0.23994014,0.0,0.0,3.8326302,0.0,0.0,0.1130258,-0.37938738,0.0,0.64501125,1.5242336,0.0,-0.16343029,0.0,0.0,0.0,0.0,0.0,1.2590747,0.9990513,-0.042007793,-0.007958429,0.008279068,-0.2576028,0.07880079,-2.0288615,-0.3795427,-0.84542245,-2.7013397,0.16638027
